"Reference","Value","Qty","LCSC"
"C1,C2,C3","4.7uF","3","C23733"
"C4,C5,C6,C7,C8","0.1uF","5","C1525"
"C9","4.7uF/DNP/DNP","1","C23733"
"D1","LED_Small","1","C2286"
"J1","Conn_02x03_Odd_Even","1",""
"J2","Conn_02x05_Odd_Even","1",""
"J3,J4","Conn_01x02_Pin","2",""
"J5","Conn_01x01_Pin","1",""
"R1,R2","4K7","2","C25900"
"R3","1K","1","C11702"
"RC4,RC5","0R/4.7uF/DNP","2","C17168"
"TP1","TestPoint","1",""
"U1","STM32F4xx","1","C94355"
"U2","2332/2364 SOCKET","1",""
"U3","AP2112K-3.3","1","C51118"

# F411RE
"Reference","Value","Qty","LCSC"
"C1,C2,C3","4.7uF","3","C23733"
"C4,C5,C6,C7,C8","0.1uF","5","C1525"
"C9","4.7uF","1","C23733"
"D1","LED_Small","1","C2286"
"R1,R2","4K7","2","C25900"
"R3","1K","1","C11702"
"RC4,RC5","0R/4.7uF/DNP","2","C17168"
"U1","STM32F4xx","1","C94355"
"U3","AP2112K-3.3","1","C51118"
